On day 0, price is: $9.94
On day 1, price is: $9.45
On day 2, price is: $11.06
On day 3, price is: $10.83
On day 4, price is: $10.42
On day 5, price is: $11.42
On day 6, price is: $10.90
On day 7, price is: $12.78
On day 8, price is: $12.30
On day 9, price is: $13.95
On day 10, price is: $13.92
On day 11, price is: $13.62
On day 12, price is: $14.38
On day 13, price is: $14.22
On day 14, price is: $14.16
On day 15, price is: $13.95
On day 16, price is: $14.45
On day 17, price is: $13.98
On day 18, price is: $13.61
On day 19, price is: $13.51
On day 20, price is: $15.12
On day 21, price is: $14.57
On day 22, price is: $14.20
On day 23, price is: $15.85
On day 24, price is: $18.28
On day 25, price is: $17.51
On day 26, price is: $18.56
On day 27, price is: $19.82
On day 28, price is: $18.89
On day 29, price is: $19.95
On day 30, price is: $21.85
On day 31, price is: $21.70
On day 32, price is: $24.04
On day 33, price is: $23.11
On day 34, price is: $23.24
On day 35, price is: $23.18
On day 36, price is: $25.95
On day 37, price is: $29.05
On day 38, price is: $28.72
On day 39, price is: $28.02
On day 40, price is: $31.13
On day 41, price is: $32.25
On day 42, price is: $36.97
On day 43, price is: $37.23
On day 44, price is: $37.14
On day 45, price is: $36.92
On day 46, price is: $38.57
On day 47, price is: $40.83
On day 48, price is: $42.00
On day 49, price is: $43.91
On day 50, price is: $51.11
On day 51, price is: $50.62
On day 52, price is: $50.54
On day 53, price is: $50.13
On day 54, price is: $49.52
On day 55, price is: $51.16
On day 56, price is: $56.62
On day 57, price is: $60.82
On day 58, price is: $61.91
On day 59, price is: $60.27
On day 60, price is: $57.67
On day 61, price is: $55.97
On day 62, price is: $65.64
On day 63, price is: $68.29
On day 64, price is: $76.43
On day 65, price is: $77.02
On day 66, price is: $74.78
On day 67, price is: $85.25
On day 68, price is: $99.38
On day 69, price is: $95.21
On day 70, price is: $91.31
On day 71, price is: $102.67
